precinct,office,party_detailed,party_simplified,mode,votes,county_name,county_fips,jurisdiction_name,jurisdiction_fips,candidate,district,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic,date,readme_check,magnitude
PRECINCT #1.80,US HOUSE,DEMOCRAT,DEMOCRAT,,13,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #10.80,US HOUSE,DEMOCRAT,DEMOCRAT,,10,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #11.80,US HOUSE,DEMOCRAT,DEMOCRAT,,7,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #12.80,US HOUSE,DEMOCRAT,DEMOCRAT,,36,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #14.80,US HOUSE,DEMOCRAT,DEMOCRAT,,35,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #16.78,US HOUSE,DEMOCRAT,DEMOCRAT,,29,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #2.80,US HOUSE,DEMOCRAT,DEMOCRAT,,27,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #3.78,US HOUSE,DEMOCRAT,DEMOCRAT,,59,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #4.78,US HOUSE,DEMOCRAT,DEMOCRAT,,72,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #5.78,US HOUSE,DEMOCRAT,DEMOCRAT,,117,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #6.78,US HOUSE,DEMOCRAT,DEMOCRAT,,99,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #7.78,US HOUSE,DEMOCRAT,DEMOCRAT,,91,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #8.80,US HOUSE,DEMOCRAT,DEMOCRAT,,44,POWELL,30077,POWELL,30077,MONICA TRANEL,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #1.80,US HOUSE,REPUBLICAN,REPUBLICAN,,130,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #10.80,US HOUSE,REPUBLICAN,REPUBLICAN,,68,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #11.80,US HOUSE,REPUBLICAN,REPUBLICAN,,78,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #12.80,US HOUSE,REPUBLICAN,REPUBLICAN,,90,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #14.80,US HOUSE,REPUBLICAN,REPUBLICAN,,130,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #16.78,US HOUSE,REPUBLICAN,REPUBLICAN,,91,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #2.80,US HOUSE,REPUBLICAN,REPUBLICAN,,69,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #3.78,US HOUSE,REPUBLICAN,REPUBLICAN,,243,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #4.78,US HOUSE,REPUBLICAN,REPUBLICAN,,186,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #5.78,US HOUSE,REPUBLICAN,REPUBLICAN,,178,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
PRECINCT #6.78,US HOUSE,REPUBLICAN,REPUBLICAN,,184,POWELL,30077,POWELL,30077,RYAN K ZINKE,001,HOUSE,2022,GEN,MONTANA,FALSE,FALSE,MT,30,81,64,2022-11-08,FALSE,1
