precinct,office,party_detailed,party_simplified,mode,votes,county_name,county_fips,jurisdiction_name,jurisdiction_fips,candidate,district,magnitude,dataverse,year,stage,state,special,writein,state_po,state_fips,state_cen,state_ic,date,readme_check
ALBANY,US HOUSE,DEMOCRAT,DEMOCRAT,TOTAL,201,CARROLL,33003,ALBANY,3300300420,CHRIS PAPPAS,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ALBANY,US HOUSE,LIBERTARIAN,LIBERTARIAN,TOTAL,3,CARROLL,33003,ALBANY,3300300420,DAN BELFORTI,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ALBANY,US HOUSE,REPUBLICAN,REPUBLICAN,TOTAL,126,CARROLL,33003,ALBANY,3300300420,EDDIE EDWARDS,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ALTON,US HOUSE,DEMOCRAT,DEMOCRAT,TOTAL,976,BELKNAP,33001,ALTON,3300101060,CHRIS PAPPAS,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ALTON,US HOUSE,LIBERTARIAN,LIBERTARIAN,TOTAL,26,BELKNAP,33001,ALTON,3300101060,DAN BELFORTI,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
ALTON,US HOUSE,,OTHER,TOTAL,1,BELKNAP,33001,ALTON,3300101060,WRITEIN,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
ALTON,US HOUSE,REPUBLICAN,REPUBLICAN,TOTAL,1699,BELKNAP,33001,ALTON,3300101060,EDDIE EDWARDS,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
AUBURN,US HOUSE,DEMOCRAT,DEMOCRAT,TOTAL,1205,ROCKINGHAM,33015,AUBURN,3301502820,CHRIS PAPPAS,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
AUBURN,US HOUSE,LIBERTARIAN,LIBERTARIAN,TOTAL,35,ROCKINGHAM,33015,AUBURN,3301502820,DAN BELFORTI,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
AUBURN,US HOUSE,,OTHER,TOTAL,1,ROCKINGHAM,33015,AUBURN,3301502820,WRITEIN,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,TRUE,NH,33,12,4,11/6/2018,FALSE
AUBURN,US HOUSE,REPUBLICAN,REPUBLICAN,TOTAL,1618,ROCKINGHAM,33015,AUBURN,3301502820,EDDIE EDWARDS,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
BARNSTEAD,US HOUSE,DEMOCRAT,DEMOCRAT,TOTAL,832,BELKNAP,33001,BARNSTEAD,3300103220,CHRIS PAPPAS,1,1,HOUSE,2018,GEN,NEW HAMPSHIRE,FALSE,FALSE,NH,33,12,4,11/6/2018,FALSE
