"precinct","office","party_detailed","party_simplified","mode","votes","county_name","county_fips","jurisdiction_name","jurisdiction_fips","candidate","district","magnitude","dataverse","year","stage","state","special","writein","state_po","state_fips","state_cen","state_ic","date","readme_check"
"ALBANY","US HOUSE","","","TOTAL",0,"CARROLL","33003","ALBANY","3300300420","WRITEIN","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","TRUE","NH","33","12","04","2020-11-03","FALSE"
"ALBANY","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",246,"CARROLL","33003","ALBANY","3300300420","CHRIS PAPPAS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"ALBANY","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",9,"CARROLL","33003","ALBANY","3300300420","ZACHARY S DUMONT","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"ALBANY","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",173,"CARROLL","33003","ALBANY","3300300420","MATT MOWERS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"ALTON","US HOUSE","","","TOTAL",0,"BELKNAP","33001","ALTON","3300101060","WRITEIN","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","TRUE","NH","33","12","04","2020-11-03","FALSE"
"ALTON","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",1355,"BELKNAP","33001","ALTON","3300101060","CHRIS PAPPAS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"ALTON","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",71,"BELKNAP","33001","ALTON","3300101060","ZACHARY S DUMONT","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"ALTON","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",2425,"BELKNAP","33001","ALTON","3300101060","MATT MOWERS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"AUBURN","US HOUSE","","","TOTAL",0,"ROCKINGHAM","33015","AUBURN","3301502820","WRITEIN","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","TRUE","NH","33","12","04","2020-11-03","FALSE"
"AUBURN","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",1612,"ROCKINGHAM","33015","AUBURN","3301502820","CHRIS PAPPAS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"AUBURN","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",100,"ROCKINGHAM","33015","AUBURN","3301502820","ZACHARY S DUMONT","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"AUBURN","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",2165,"ROCKINGHAM","33015","AUBURN","3301502820","MATT MOWERS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARNSTEAD","US HOUSE","","","TOTAL",0,"BELKNAP","33001","BARNSTEAD","3300103220","WRITEIN","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","TRUE","NH","33","12","04","2020-11-03","FALSE"
"BARNSTEAD","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",1143,"BELKNAP","33001","BARNSTEAD","3300103220","CHRIS PAPPAS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARNSTEAD","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",77,"BELKNAP","33001","BARNSTEAD","3300103220","ZACHARY S DUMONT","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARNSTEAD","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",1646,"BELKNAP","33001","BARNSTEAD","3300103220","MATT MOWERS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARRINGTON","US HOUSE","","","TOTAL",0,"STRAFFORD","33017","BARRINGTON","3301703460","WRITEIN","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","TRUE","NH","33","12","04","2020-11-03","FALSE"
"BARRINGTON","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",3065,"STRAFFORD","33017","BARRINGTON","3301703460","CHRIS PAPPAS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARRINGTON","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",155,"STRAFFORD","33017","BARRINGTON","3301703460","ZACHARY S DUMONT","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARRINGTON","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",2726,"STRAFFORD","33017","BARRINGTON","3301703460","MATT MOWERS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARTLETT","US HOUSE","","","TOTAL",0,"CARROLL","33003","BARTLETT","3300303700","WRITEIN","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","TRUE","NH","33","12","04","2020-11-03","FALSE"
"BARTLETT","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",1314,"CARROLL","33003","BARTLETT","3300303700","CHRIS PAPPAS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARTLETT","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",21,"CARROLL","33003","BARTLETT","3300303700","ZACHARY S DUMONT","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BARTLETT","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",804,"CARROLL","33003","BARTLETT","3300303700","MATT MOWERS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BEDFORD","US HOUSE","","","TOTAL",6,"HILLSBOROUGH","33011","BEDFORD","3301104500","WRITEIN","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","TRUE","NH","33","12","04","2020-11-03","FALSE"
"BEDFORD","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",7115,"HILLSBOROUGH","33011","BEDFORD","3301104500","CHRIS PAPPAS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BEDFORD","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",190,"HILLSBOROUGH","33011","BEDFORD","3301104500","ZACHARY S DUMONT","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BEDFORD","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",7271,"HILLSBOROUGH","33011","BEDFORD","3301104500","MATT MOWERS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BELMONT","US HOUSE","","","TOTAL",0,"BELKNAP","33001","BELMONT","3300104740","WRITEIN","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","TRUE","NH","33","12","04","2020-11-03","FALSE"
"BELMONT","US HOUSE","DEMOCRAT","DEMOCRAT","TOTAL",1557,"BELKNAP","33001","BELMONT","3300104740","CHRIS PAPPAS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BELMONT","US HOUSE","LIBERTARIAN","LIBERTARIAN","TOTAL",123,"BELKNAP","33001","BELMONT","3300104740","ZACHARY S DUMONT","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
"BELMONT","US HOUSE","REPUBLICAN","REPUBLICAN","TOTAL",2272,"BELKNAP","33001","BELMONT","3300104740","MATT MOWERS","001",1,"HOUSE",2020,"GEN","NEW HAMPSHIRE","FALSE","FALSE","NH","33","12","04","2020-11-03","FALSE"
